chunk_id,stratum,initial_effective_labels,cascade_labels,cascade_confidence,flash_labels,flash_confidence,pro_available,pro_labels,pro_confidence,final_reference_labels,final_event_id,final_reviewer,final_batch_id
-5YuleqzULo_e6f25ef3c8262f87633b,"('CONTENIDO_SEXUAL', 'deepseek-v4-pro', 'resolved')",CONTENIDO_SEXUAL,CONTENIDO_SEXUAL,0.9,CONTENIDO_SEXUAL,0.9,1,CONTENIDO_SEXUAL,0.9,CONTENIDO_SEXUAL,,,
-5YuleqzULo_fa8b0ac550a2e67f0854,"('ACOSO_AMENAZA|ATAQUE_POR_GENERO_IDENTIDAD', 'deepseek-v4-pro', 'resolved')",ACOSO_AMENAZA|ATAQUE_POR_GENERO_IDENTIDAD,ATAQUE_POR_GENERO_IDENTIDAD|ACOSO_AMENAZA,0.9,CONTENIDO_SEXUAL,0.75,1,ATAQUE_POR_GENERO_IDENTIDAD|ACOSO_AMENAZA,0.9,ACOSO_AMENAZA|ATAQUE_POR_GENERO_IDENTIDAD,150f777d-4f8d-4f81-87ee-87593ed55fa7,reviewer-0bb86bab6fb83fbd,
-6ukjax9GgI_258a70b97c1951625b26,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-6ukjax9GgI_277ca59b3f0d50797a02,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-6ukjax9GgI_42f957945d915b484e66,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-6ukjax9GgI_435cee2a6cec7ad3d4fa,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-6ukjax9GgI_4afa21daaf4670c10df9,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.9,SEGURO,0.95,1,SEGURO,0.9,SEGURO,,,
-6ukjax9GgI_587c67763c2d4c800878,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-6ukjax9GgI_75b3147734212246401b,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-6ukjax9GgI_7b509aa741d250963c74,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-6ukjax9GgI_8c2d8736d76e70c74386,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-6ukjax9GgI_b6508b900f7c92dacaac,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-6ukjax9GgI_cbd8b6dc41a503355feb,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-85lY7T09W4_29dce07fa633b4cc63d9,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-c7b5173a2a9b84289b37704b,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-85lY7T09W4_49dc65649a1b2196d6fc,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-a0c2110303d8f3d72f73172f,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-85lY7T09W4_598df917cd6a03a4fdd2,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.85,SEGURO,0.85,0,,,SEGURO,,,
-85lY7T09W4_5c62f44c7764231409ff,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,ACOSO_AMENAZA,0.8,1,,0.65,ACOSO_AMENAZA,codex-92e830a3af4c109039ca3dd5,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-85lY7T09W4_8132d38fd34420a04db9,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-85bdb1283c920d3218998f0c,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-8iPuVWJ5Rg_84d309b9180f47f9f637,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-8iPuVWJ5Rg_dab09bb80553f3e5a1d3,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_1f9e85fad9354f332392,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_2006d7cbf7f16c20180b,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_2582bf94a8205bf3cf94,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_3bcb04d89fd913026ad0,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_4dffa8eb76682210d6da,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_588327da89a6250ab7a2,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_73ce5bde4874edcbe334,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_827400ed4248fe0a6efd,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_9b4bab884608bbdf34c6,"('ATAQUE_POR_GENERO_IDENTIDAD', 'deepseek-v4-pro', 'needs_review')",ATAQUE_POR_GENERO_IDENTIDAD,ATAQUE_POR_GENERO_IDENTIDAD,0.65,ATAQUE_POR_GENERO_IDENTIDAD,0.75,1,ATAQUE_POR_GENERO_IDENTIDAD,0.65,ATAQUE_POR_GENERO_IDENTIDAD,codex-pro-accept-8ea1490d6c92a027173a6812,CODEX,CODEX-PRO-PRECEDENCE-20260809
-BTi-sX6fyg_bb046daa204a2b5d537e,"('SEGURO', 'deepseek-v4-pro', 'needs_review')",SEGURO,SEGURO,0.85,ACOSO_AMENAZA,0.65,1,SEGURO,0.85,SEGURO,b8ca1ea7-d6e8-4d9b-b8d1-de2429acef7f,reviewer-0bb86bab6fb83fbd,
-BTi-sX6fyg_d75e10e5e60d0619ee75,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.9,SEGURO,0.95,1,SEGURO,0.9,SEGURO,,,
-BTi-sX6fyg_e3dfa319eefaed562ff8,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BTi-sX6fyg_e49d12fbca12a223dba3,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.9,SEGURO,0.9,0,,,SEGURO,,,
-BTi-sX6fyg_f7cfe97e9b4f1b6e39b4,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BaFyiShhZY_027bf4671845045b504f,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,,,
-BaFyiShhZY_1665e042975b78b75d0a,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-44b440407fc75db23b0d554f,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-BaFyiShhZY_16cb7030edeb441745b1,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.9,,0.65,1,SEGURO,0.9,SEGURO,,,
-BaFyiShhZY_200e22d3d33334a843f4,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BaFyiShhZY_30d43c7130edd9d2c0c6,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BaFyiShhZY_48d2731fbd4957d1d8ea,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,,,
-BaFyiShhZY_604e9ece96b16c2aca7d,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BaFyiShhZY_b4b241d598786398237d,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-97497eac6bf80a3d656efd5a,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-BaFyiShhZY_b95cab988121f5e78b06,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-BaFyiShhZY_d702b4c8eab0c4c06199,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-af956640dd90360c73ac521e,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-BaFyiShhZY_d90b82ca0d5e695da97c,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,,,
-Bz1_Vi8JEY_2bf7063aba022ba7932e,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Bz1_Vi8JEY_72caf845d1475bf998a4,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Bz1_Vi8JEY_8096dd47d7d17d81569a,"('RACISMO_DISCRIMINACION', 'deepseek-v4-pro', 'needs_review')",RACISMO_DISCRIMINACION,RACISMO_DISCRIMINACION,0.85,RACISMO_DISCRIMINACION,0.85,1,RACISMO_DISCRIMINACION,0.85,RACISMO_DISCRIMINACION,codex-pro-accept-36a361a3cba629c0a84d7b1d,CODEX,CODEX-PRO-PRECEDENCE-20260809
-Bz1_Vi8JEY_f17ed21a16bc0bb80b19,"('RACISMO_DISCRIMINACION', 'deepseek-v4-pro', 'needs_review')",RACISMO_DISCRIMINACION,RACISMO_DISCRIMINACION,0.75,RACISMO_DISCRIMINACION,0.65,1,RACISMO_DISCRIMINACION,0.75,RACISMO_DISCRIMINACION,codex-pro-accept-31a91a929cce81af5b463742,CODEX,CODEX-PRO-PRECEDENCE-20260809
-Chfpf9zLqc_14ed8637da47e252e3c3,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Chfpf9zLqc_5bc6d7acce1d49de699e,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,1,SEGURO,0.95,SEGURO,,,
-Chfpf9zLqc_644a953b5dfb48d18117,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,SEGURO,0.95,1,,0.65,SEGURO,codex-fc84620dd3cc4de497102818,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-Chfpf9zLqc_739403ca4060c5932ec3,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Chfpf9zLqc_89b4e21e3d09c2b3c81c,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Chfpf9zLqc_8be8d234ec125ec5f558,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Chfpf9zLqc_9fc9fc5c08811d7dd73c,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Chfpf9zLqc_c9dc73b6491a80f6e2da,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Chfpf9zLqc_dc6a75f75af7ef1c8363,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Chfpf9zLqc_fc7c5c3cb4f9694bc20d,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Chfpf9zLqc_fdca2691f85f1b3691b7,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-EWtzdaIUv8_0c57965fab4d6117fa7b,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-7de6a593e43349ba103d03ac,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-EWtzdaIUv8_2c21fe177bdb99b1db09,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-FSE8K74Mp4_296a61d2c78329e76f4d,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,,,
-FSE8K74Mp4_e88a2bb64862ab2870cf,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,,,
-H8L0dz-xYE_10ff188b108c6ba4a0ae,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-H8L0dz-xYE_2ee6e42841e9045977b7,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.96,,0.65,1,SEGURO,0.96,SEGURO,codex-a203b09602840e67835495e2,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_424d46a5252748557d12,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.96,,0.65,1,SEGURO,0.96,SEGURO,codex-deffc8e4e8e51306bfec96fe,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_42f3595baf06c8d4e76b,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,,0.6,1,SEGURO,0.95,SEGURO,,,
-H8L0dz-xYE_430ff138e333ea7f10c7,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-H8L0dz-xYE_4324b7373e665ac96d26,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-5c869b97204d653666afe0a0,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_49444381a71e8c731f53,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.9,SEGURO,0.9,0,,,SEGURO,,,
-H8L0dz-xYE_517d3179f7605876c4eb,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-4adb16c22feb973879a4f3be,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_5db5aea09c9a0c82beca,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-H8L0dz-xYE_667777d5f9d595a42359,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.94,,0.65,1,SEGURO,0.94,SEGURO,codex-0a37e6bb9e591b336f66c876,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_6e38baa99e55e6424f2e,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.94,,0.65,1,SEGURO,0.94,SEGURO,codex-6d83dd5e47ec6e8731fc4c5b,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_89b270841904a32fc5de,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.94,,0.65,1,SEGURO,0.94,SEGURO,codex-eff836f96a9dc2160f5b2381,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_ac986a2b2a2ac9a7f243,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-H8L0dz-xYE_be51b6982255ff03b26b,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,codex-937afc27e7ac15b4fbc7c8fb,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_c88252e314d54f2727bd,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-7b28afe5dc7708b9a21fad2c,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_d8d34ca6d7c058ef5c96,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.9,SEGURO,0.9,0,,,SEGURO,,,
-H8L0dz-xYE_e5a8f38f57145390a4ac,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,codex-45611fd82aa210443ea9f612,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_ebbfa187837bcd6ddfb3,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-H8L0dz-xYE_ef4d71b08f2129eb8671,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.6,1,,0.65,SEGURO,codex-e7b7dcffdda571b4ad722bb2,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-H8L0dz-xYE_f12bad2dd06e4b5f93d5,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Jt08NnztQE_22d2123501b193b6bb37,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,codex-3eb6bb94dd919d2004e157f5,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-Jt08NnztQE_3ba75e80253461e31614,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,ACOSO_AMENAZA,0.95,1,SEGURO,0.95,SEGURO,,,
-Jt08NnztQE_907688e7e7a60f6c5a87,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,,,
-Jt08NnztQE_9c7136e937f1a8e20bc9,"('ACOSO_AMENAZA', 'deepseek-v4-pro', 'resolved')",ACOSO_AMENAZA,ACOSO_AMENAZA,0.95,,0.65,1,ACOSO_AMENAZA,0.95,ACOSO_AMENAZA,,,
-Jt08NnztQE_d1c343759b11d570dc6f,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,codex-79bb25367c41a10751054cb5,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-Jt08NnztQE_fe5b3c8e22b33445f529,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,codex-366b3b22faacde4c2a3543db,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-Ju-umjdy_U_4b5dbb304c347511a9a4,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.65,1,,0.65,SEGURO,codex-24de1c23e6d111e2118b6ef9,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-Ju-umjdy_U_866ac024350ccc505fc7,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,,0.6,1,,0.65,SEGURO,codex-67169a4660a95341fe020b90,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-Ju-umjdy_U_c8ec269a8764a8dad4d1,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,codex-951f7f37f0a8c2bdd8d0a539,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-Liwq9VbAYE_22eed5ad2069eaac89ea,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Liwq9VbAYE_2766b13e7da11de12d35,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Liwq9VbAYE_4f3d68d6c22ff0584236,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.98,SEGURO,0.98,0,,,SEGURO,,,
-Liwq9VbAYE_57091aae958fc9bdff34,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,,,
-Liwq9VbAYE_a645fbdbb174fa3b448a,"('PENDIENTE', 'deepseek-v4-flash', 'needs_review')",,SEGURO,0.94,,0.65,1,SEGURO,0.94,SEGURO,codex-5654b41301f333dcdba18dd1,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
-Liwq9VbAYE_ad5aa65fb9e84c98f6be,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Liwq9VbAYE_b87924f0c8a9fa3c38b3,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Liwq9VbAYE_b87f2a95c5e86f7c5952,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Liwq9VbAYE_cb4e8c6c18959665fbbc,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.98,SEGURO,0.98,0,,,SEGURO,,,
-Liwq9VbAYE_d02c75bd0544f7382956,"('SEGURO', 'deepseek-v4-pro', 'resolved')",SEGURO,SEGURO,0.95,,0.65,1,SEGURO,0.95,SEGURO,,,
-Liwq9VbAYE_d1d413d2b5ec796d7ab4,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-Liwq9VbAYE_f6496ab608ca18e5d293,"('SEGURO', 'deepseek-v4-flash', 'resolved')",SEGURO,SEGURO,0.95,SEGURO,0.95,0,,,SEGURO,,,
-MANNOk5eo4_1bcc23380281c6abd74c,"('PENDIENTE', 'deepseek-v4-pro', 'needs_review')",,,0.65,SEGURO,0.95,1,,0.65,SEGURO,codex-139351813f24aca449887065,CODEX,CODEX-UNLABELED-PROMPT-V3_1_1-20260809
