video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota
-dMu5WFj5lg,https://www.youtube.com/watch?v=-dMu5WFj5lg,Toledo asks for a pardon for health reasons and puts President Balcázar in a difficult position.,Arde Troya con Juliana Oxenford,,365.0,high_yield_channel,Arde Troya con Juliana Oxenford,25,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
HlGBRMo59w4,https://www.youtube.com/watch?v=HlGBRMo59w4,NEW TECHNICAL STAFF OR THE SAME OLD THING TO PROTECT THE UNTOUCHABLES?,Arde Troya con Juliana Oxenford,,282.0,high_yield_channel,Arde Troya con Juliana Oxenford,26,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
E3TPryZ3yes,https://www.youtube.com/watch?v=E3TPryZ3yes,CARLOS REVEALS THE DARK CLUES BEHIND THE DEATH OF THE YOUNG MAN FOUND AT THE MANCHAY POLICE STATI...,Arde Troya con Juliana Oxenford,,1599.0,high_yield_channel,Arde Troya con Juliana Oxenford,27,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
Jb_i5SoAZBI,https://www.youtube.com/watch?v=Jb_i5SoAZBI,"ALL HELL BREAKS LOOSE WITH JULIANA OXENFORD: JULY 15, 2026 PROGRAM",Arde Troya con Juliana Oxenford,,4865.0,high_yield_channel,Arde Troya con Juliana Oxenford,28,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
mli-RFUmtAo,https://www.youtube.com/watch?v=mli-RFUmtAo,JULIANA EXPOSES THE AUTHORITARIAN ALIGNMENT OF KEIKO AND HER HENCHMEN IN CONGRESS,Arde Troya con Juliana Oxenford,,722.0,high_yield_channel,Arde Troya con Juliana Oxenford,29,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
mdxffZP9BnY,https://www.youtube.com/watch?v=mdxffZP9BnY,They're already handing out sashes! Keiko aligns herself with the US and Carlos Espá is rumored f...,Arde Troya con Juliana Oxenford,,613.0,high_yield_channel,Arde Troya con Juliana Oxenford,30,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
SyElqVwpvzY,https://www.youtube.com/watch?v=SyElqVwpvzY,DEMAND FOR JUSTICE OR BLACKMAIL TO IMPOSE IMPUNITY IN THE STREETS? ZUNINI RESPONDS #INTERVIEW,Arde Troya con Juliana Oxenford,,1785.0,high_yield_channel,Arde Troya con Juliana Oxenford,31,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
B28UYqiTSdU,https://www.youtube.com/watch?v=B28UYqiTSdU,"ARDE TROYA WITH JULIANA OXENFORD: JULY 14, 2026 PROGRAM",Arde Troya con Juliana Oxenford,,5412.0,high_yield_channel,Arde Troya con Juliana Oxenford,32,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
ATx9BI2eqSY,https://www.youtube.com/watch?v=ATx9BI2eqSY,JOSÉ ALEJANDRO GODOY SHATTERS THE FUJIMORIST RECONCILIATION SCRIPT #INTERVIEW,Arde Troya con Juliana Oxenford,,2757.0,high_yield_channel,Arde Troya con Juliana Oxenford,33,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
G2lKcEMVQfo,https://www.youtube.com/watch?v=G2lKcEMVQfo,ROBERTO SÁNCHEZ DEMANDS CASTILLO'S RELEASE AND ORGANIZES A STRIKE AGAINST THE NEW REGIME,Arde Troya con Juliana Oxenford,,701.0,high_yield_channel,Arde Troya con Juliana Oxenford,34,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
Vh8s4O9QDmc,https://www.youtube.com/watch?v=Vh8s4O9QDmc,90S OPERATIVES RETURN TO POWER IN KEIKO FUJIMORI'S TRANSITION TEAM,Arde Troya con Juliana Oxenford,,201.0,high_yield_channel,Arde Troya con Juliana Oxenford,35,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
AopYTg-PyYU,https://www.youtube.com/watch?v=AopYTg-PyYU,"ALL HELL BREAKS LOOSE WITH JULIANA OXENFORD: JULY 13, 2026 PROGRAM",Arde Troya con Juliana Oxenford,,5556.0,high_yield_channel,Arde Troya con Juliana Oxenford,36,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
vR3Zi7Gb2tA,https://www.youtube.com/watch?v=vR3Zi7Gb2tA,"Indira Huilca, elected representative of Ahora Nación, reveals how they will stop Keiko #Interview",Arde Troya con Juliana Oxenford,,2457.0,high_yield_channel,Arde Troya con Juliana Oxenford,37,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
icv_-b4g75s,https://www.youtube.com/watch?v=icv_-b4g75s,JULY 15: CREDENTIALS / POPULIST ALERT,Arde Troya con Juliana Oxenford,,454.0,high_yield_channel,Arde Troya con Juliana Oxenford,38,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
P5IjxnKCwnA,https://www.youtube.com/watch?v=P5IjxnKCwnA,Juliana destroys Rospigliosi's shield for the military and demands a real mea culpa from Fujimori...,Arde Troya con Juliana Oxenford,,660.0,high_yield_channel,Arde Troya con Juliana Oxenford,39,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
ZtaEKdhFE38,https://www.youtube.com/watch?v=ZtaEKdhFE38,"ARDE TROYA WITH JULIANA OXENFORD: JULY 10, 2026 PROGRAM",Arde Troya con Juliana Oxenford,,5645.0,high_yield_channel,Arde Troya con Juliana Oxenford,40,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
7bR0qP5wF_s,https://www.youtube.com/watch?v=7bR0qP5wF_s,GUIDO BELLIDO RESPONDS TO INVESTIGATIONS AND WASTEFUL SPENDING IN CONGRESS #interview,Arde Troya con Juliana Oxenford,,2203.0,high_yield_channel,Arde Troya con Juliana Oxenford,41,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
E3xvr3ZIXRs,https://www.youtube.com/watch?v=E3xvr3ZIXRs,EVEN HIS OWN PARTY REJECTS HIM! SOMOS PERÚ DENIES MEDAL TO JOSÉ JERÍ DUE TO ETHICAL MISCONDUCT,Arde Troya con Juliana Oxenford,,345.0,high_yield_channel,Arde Troya con Juliana Oxenford,42,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
XUVtjoDEvUg,https://www.youtube.com/watch?v=XUVtjoDEvUg,ADMINISTRATIVE SERVICE OR AN UNASSAILABLE PLOY TO LIVE LIKE KINGS ON EVERYONE'S DIME?,Arde Troya con Juliana Oxenford,,436.0,high_yield_channel,Arde Troya con Juliana Oxenford,43,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
i8NKkuyDqPo,https://www.youtube.com/watch?v=i8NKkuyDqPo,"ARDE TROYA WITH JULIANA OXENFORD: JULY 9, 2026 EPISODE",Arde Troya con Juliana Oxenford,,4753.0,high_yield_channel,Arde Troya con Juliana Oxenford,44,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
L1hYpptGG5o,https://www.youtube.com/watch?v=L1hYpptGG5o,FORMER CANDIDATES LINE UP TO GREET KEIKO AS THE NEW CABINET IS BEING COOKED UP,Arde Troya con Juliana Oxenford,,1021.0,high_yield_channel,Arde Troya con Juliana Oxenford,45,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
5FTJGLCeSew,https://www.youtube.com/watch?v=5FTJGLCeSew,CONGRESS AWARDS THE GRAND CROSS MEDAL TO JOSÉ JERÍ AFTER THE CHIFAGATE SCANDAL,Arde Troya con Juliana Oxenford,,132.0,high_yield_channel,Arde Troya con Juliana Oxenford,46,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
TntDhxBZAV0,https://www.youtube.com/watch?v=TntDhxBZAV0,FERNANDO TUESTA DESNUDA LA ORFANDAD TÉCNICA DE FUERZA POPULAR #ENTREVISTA,Arde Troya con Juliana Oxenford,,2321.0,high_yield_channel,Arde Troya con Juliana Oxenford,47,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
uU5vvRMoRBA,https://www.youtube.com/watch?v=uU5vvRMoRBA,"ARDE TROYA WITH JULIANA OXENFORD: JULY 8, 2026 PROGRAM",Arde Troya con Juliana Oxenford,,4429.0,high_yield_channel,Arde Troya con Juliana Oxenford,48,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
cYvnjUrJDKA,https://www.youtube.com/watch?v=cYvnjUrJDKA,SAVED BY THE BELL! JULIO VELARDE AGREES TO STAY AT THE BCR AFTER MEETING WITH KEIKO,Arde Troya con Juliana Oxenford,,1176.0,high_yield_channel,Arde Troya con Juliana Oxenford,49,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
cA9VeUjc3Zw,https://www.youtube.com/watch?v=cA9VeUjc3Zw,"The judicial raid on Bellido, Paredes, and Medina, and the heartbreaking complaint against 'Carit...",Arde Troya con Juliana Oxenford,,617.0,high_yield_channel,Arde Troya con Juliana Oxenford,50,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
IqvOfunZABA,https://www.youtube.com/watch?v=IqvOfunZABA,THEY ACKNOWLEDGE KEIKO'S VICTORY BUT FORM AN ALLIANCE WITH AHORA NACIÓN AND OBRAS TO STOP HER,Arde Troya con Juliana Oxenford,,1480.0,high_yield_channel,Arde Troya con Juliana Oxenford,51,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
acDYIVtFq_I,https://www.youtube.com/watch?v=acDYIVtFq_I,"ARDE TROYA WITH JULIANA OXENFORD: JULY 07, 2026 SHOW",Arde Troya con Juliana Oxenford,,4425.0,high_yield_channel,Arde Troya con Juliana Oxenford,52,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
RYzghTIYhjk,https://www.youtube.com/watch?v=RYzghTIYhjk,¡PATEÓ EL TABLERO! ROBERTO SÁNCHEZ CONDICIONA A KEIKO: LIBERTAD PARA CASTILLO O NO HAY DIÁLOGO,Arde Troya con Juliana Oxenford,,413.0,high_yield_channel,Arde Troya con Juliana Oxenford,53,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
eh2H86Bk-Cg,https://www.youtube.com/watch?v=eh2H86Bk-Cg,Judge Carhuancho confesses how the authorities suspended him over the cocktail case #interview,Arde Troya con Juliana Oxenford,,2232.0,high_yield_channel,Arde Troya con Juliana Oxenford,54,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
mMlwS0hj-FE,https://www.youtube.com/watch?v=mMlwS0hj-FE,JULIANA BLASTS KEIKO’S NEW CONGRESSPEOPLE WITH CRIMINAL RECORDS,Arde Troya con Juliana Oxenford,,495.0,high_yield_channel,Arde Troya con Juliana Oxenford,55,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
dUzzo4UO1zE,https://www.youtube.com/watch?v=dUzzo4UO1zE,"ARDE TROYA WITH JULIANA OXENFORD: JULY 6, 2026 SHOW",Arde Troya con Juliana Oxenford,,5403.0,high_yield_channel,Arde Troya con Juliana Oxenford,56,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
7UOxCJj4Xaw,https://www.youtube.com/watch?v=7UOxCJj4Xaw,AT GUNPOINT! JULIANA SLAMS CONGRESS OVER LAWS THAT PROTECT MAFIAS AND BACKS JANET TELLO,Arde Troya con Juliana Oxenford,,775.0,high_yield_channel,Arde Troya con Juliana Oxenford,57,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
jZTG-C8YXfg,https://www.youtube.com/watch?v=jZTG-C8YXfg,NATIONAL UNITY OR EXPEDIENCY TO GAIN A FOOTHOLD IN THE FIVE-YEAR TERM? THE TWO FACES OF POLITICS,Arde Troya con Juliana Oxenford,,2082.0,high_yield_channel,Arde Troya con Juliana Oxenford,58,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
3NaP5UhJVU0,https://www.youtube.com/watch?v=3NaP5UhJVU0,THE SHOW IS OVER! JNE PROCLAIMS KEIKO FUJIMORI PRESIDENT AND DESTROYS THE FRAUD NARRATIVE,Arde Troya con Juliana Oxenford,,658.0,high_yield_channel,Arde Troya con Juliana Oxenford,59,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
yLuf20k_BLE,https://www.youtube.com/watch?v=yLuf20k_BLE,"TROY IS BURNING WITH JULIANA OXENFORD: PROGRAM FROM JULY 3, 2026",Arde Troya con Juliana Oxenford,,5074.0,high_yield_channel,Arde Troya con Juliana Oxenford,60,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
eN-ShFJhWh8,https://www.youtube.com/watch?v=eN-ShFJhWh8,MIRTHA VÁSQUEZ SOUNDS THE ALARM OVER A RETURN OF THE 90S DICTATORSHIP #INTERVIEW,Arde Troya con Juliana Oxenford,,1802.0,high_yield_channel,Arde Troya con Juliana Oxenford,61,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
45KN754ewRc,https://www.youtube.com/watch?v=45KN754ewRc,JULIANA DESTROYS KEIKO'S INTERVIEW WITH ISMAEL CALA AND HER INTERNATIONAL IMAGE MAKEOVER,Arde Troya con Juliana Oxenford,,990.0,high_yield_channel,Arde Troya con Juliana Oxenford,62,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
ye1LN2AL2-w,https://www.youtube.com/watch?v=ye1LN2AL2-w,¡QUÉ ASCO DE BLINDAJE! LE QUITAN LA POLICÍA A CARHUANCHO Y DESTAPAN AUDIO BOMBA DE EMMA BENAVIDES,Arde Troya con Juliana Oxenford,,389.0,high_yield_channel,Arde Troya con Juliana Oxenford,63,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
8akAaHYIZfA,https://www.youtube.com/watch?v=8akAaHYIZfA,"ARDE TROYA WITH JULIANA OXENFORD: JULY 2, 2026 PROGRAM",Arde Troya con Juliana Oxenford,,5421.0,high_yield_channel,Arde Troya con Juliana Oxenford,64,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
DBXxKUe58wY,https://www.youtube.com/watch?v=DBXxKUe58wY,FUERZA POPULAR HABLA: ¿ESTRATEGIA TÉCNICA O RECOMANCHADO ESCUDO LEGAL PARA LAS CÚPULAS? #ENTREVISTA,Arde Troya con Juliana Oxenford,,2153.0,high_yield_channel,Arde Troya con Juliana Oxenford,65,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
hrgAaYHUP30,https://www.youtube.com/watch?v=hrgAaYHUP30,POLITICAL EVOLUTION OR PURE OPPORTUNISM TO FIT INTO THE NEW REGIME? THE RECORD DOESN'T GET ERASED,Arde Troya con Juliana Oxenford,,1273.0,high_yield_channel,Arde Troya con Juliana Oxenford,66,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
Ny4c4oDTRnM,https://www.youtube.com/watch?v=Ny4c4oDTRnM,JULIANA TEARS APART KEIKO'S SCRIPT WITH ISMAEL CALA AND HER TALE OF THE 'NEW' PRESIDENT,Arde Troya con Juliana Oxenford,,610.0,high_yield_channel,Arde Troya con Juliana Oxenford,67,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
zixb9mvoRx8,https://www.youtube.com/watch?v=zixb9mvoRx8,"ARDE TROYA WITH JULIANA OXENFORD: JULY 1, 2026 PROGRAM",Arde Troya con Juliana Oxenford,,5980.0,high_yield_channel,Arde Troya con Juliana Oxenford,68,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
zRqqIYepbS8,https://www.youtube.com/watch?v=zRqqIYepbS8,Juliana Oxenford puts the damning report revealing the diversion of public funds under the micros...,Arde Troya con Juliana Oxenford,,462.0,high_yield_channel,Arde Troya con Juliana Oxenford,69,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
VNISs4rsloU,https://www.youtube.com/watch?v=VNISs4rsloU,POLITICAL IDEALS OR A MARRIAGE OF CONVENIENCE TO HOLD ONTO POWER?,Arde Troya con Juliana Oxenford,,562.0,high_yield_channel,Arde Troya con Juliana Oxenford,70,ACOSO_PERSONAL|AMENAZA_DIRECTA,2.41 chunks de daño y 0.39 amenazas por video en el corpus base,55
