selection_order,video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota,round_robin,batch_id,selected_at
11,LvndnVqZCJo,https://www.youtube.com/watch?v=LvndnVqZCJo,RADIO HUEVADAS FT. DR. FIT,Hablando Huevadas,,2844.0,high_yield_channel,Hablando Huevadas,153,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
12,V8AVjOwEq6A,https://www.youtube.com/watch?v=V8AVjOwEq6A,HABLANDO HUEVADAS - Séptima Temporada [UN CHINO KOREANO QUE ES JAPONÉS],Hablando Huevadas,,5361.0,high_yield_channel,Hablando Huevadas,154,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
13,daRp1ixwIfc,https://www.youtube.com/watch?v=daRp1ixwIfc,RADIO HUEVADAS FT. CÉSAR RITTER,Hablando Huevadas,,3645.0,high_yield_channel,Hablando Huevadas,155,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
14,ahdUTalHtJ0,https://www.youtube.com/watch?v=ahdUTalHtJ0,"HABLANDO HUEVADAS - Séptima Temporada [UNA SEÑORA ""LA VE"" EN VIVO]",Hablando Huevadas,,5668.0,high_yield_channel,Hablando Huevadas,156,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
15,WyqPAkbM-aY,https://www.youtube.com/watch?v=WyqPAkbM-aY,HABLANDO HUEVADAS - Séptima Temporada [CUMPLIMOS LOS ÚLTIMOS DESEOS A UN FAN],Hablando Huevadas,,5219.0,high_yield_channel,Hablando Huevadas,157,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
16,Zcni4I2Kr38,https://www.youtube.com/watch?v=Zcni4I2Kr38,RADIO HUEVADAS FT. EVA AYLLÓN,Hablando Huevadas,,3549.0,high_yield_channel,Hablando Huevadas,158,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
17,RMEFtb6-oLs,https://www.youtube.com/watch?v=RMEFtb6-oLs,HABLANDO HUEVADAS - Séptima Temporada [¿QUÉ VAMOS A COMPRAR CON 35 MILLONES?],Hablando Huevadas,,5397.0,high_yield_channel,Hablando Huevadas,159,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
18,95UbHf26700,https://www.youtube.com/watch?v=95UbHf26700,HABLANDO HUEVADAS - Séptima Temporada [JORGE Y EL CUMPLE DE SU ESPOSA],Hablando Huevadas,,6146.0,high_yield_channel,Hablando Huevadas,160,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
19,ptIZcm6BPnw,https://www.youtube.com/watch?v=ptIZcm6BPnw,Liam Z - Otra Noche Mas Remix Ft. Hablando Huevadas (Videoclip Oficial),Hablando Huevadas,,207.0,high_yield_channel,Hablando Huevadas,161,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
20,RRfC8bo81Sc,https://www.youtube.com/watch?v=RRfC8bo81Sc,HABLANDO HUEVADAS - Séptima Temporada [UN MEME VIENE A VERNOS],Hablando Huevadas,,5989.0,high_yield_channel,Hablando Huevadas,162,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
21,Aoz84jdIM5c,https://www.youtube.com/watch?v=Aoz84jdIM5c,RADIO HUEVADAS FT. YARITA LIZETH,Hablando Huevadas,,2800.0,high_yield_channel,Hablando Huevadas,163,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
22,5oIY5J3WlFo,https://www.youtube.com/watch?v=5oIY5J3WlFo,HABLANDO HUEVADAS - Séptima Temporada [NIÑO CON LEUCEM1A NOS ROBA],Hablando Huevadas,,5331.0,high_yield_channel,Hablando Huevadas,164,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
23,E646yAAcoqk,https://www.youtube.com/watch?v=E646yAAcoqk,HABLANDO HUEVADAS - Séptima Temporada [BULLYING NUNCA MÁS],Hablando Huevadas,,5442.0,high_yield_channel,Hablando Huevadas,165,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
24,5TYGqN7uwCk,https://www.youtube.com/watch?v=5TYGqN7uwCk,HABLANDO HUEVADAS - Séptima Temporada [EX PELADITA SE LE REGALA A JORGE],Hablando Huevadas,,6729.0,high_yield_channel,Hablando Huevadas,166,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
25,pF1t5Ha-rkI,https://www.youtube.com/watch?v=pF1t5Ha-rkI,RADIO HUEVADAS FT. LESLIE SHAW,Hablando Huevadas,,2746.0,high_yield_channel,Hablando Huevadas,167,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
26,vmor2SavLIU,https://www.youtube.com/watch?v=vmor2SavLIU,HABLANDO HUEVADAS - Séptima Temporada [NOS TOMAMOS FOTO CON UN MU3RTO],Hablando Huevadas,,5910.0,high_yield_channel,Hablando Huevadas,168,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
27,81Z4T8RUCTU,https://www.youtube.com/watch?v=81Z4T8RUCTU,HABLANDO HUEVADAS - Séptima Temporada [¡QUÉ SE CASEN LOS H0M0S3XU4L3S!],Hablando Huevadas,,5678.0,high_yield_channel,Hablando Huevadas,169,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
28,GLt6k_BRhv8,https://www.youtube.com/watch?v=GLt6k_BRhv8,RADIO HUEVADAS FT. SASKIA BERNAOLA,Hablando Huevadas,,3191.0,high_yield_channel,Hablando Huevadas,170,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
29,T0Wbv117iPg,https://www.youtube.com/watch?v=T0Wbv117iPg,HABLANDO HUEVADAS - Séptima Temporada [JORGE Y EL LIMPIA LUNAS EXTORSIONADOR],Hablando Huevadas,,6594.0,high_yield_channel,Hablando Huevadas,171,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
30,GBzkcH1mXRs,https://www.youtube.com/watch?v=GBzkcH1mXRs,RADIO HUEVADAS FT. VERÓNICA LINARES,Hablando Huevadas,,4900.0,high_yield_channel,Hablando Huevadas,172,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
31,R7snFUuoBR8,https://www.youtube.com/watch?v=R7snFUuoBR8,HABLANDO HUEVADAS - Sexta Temporada [FIN DE TEMPORADA - SOY PUT4 DE 50 SOLES],Hablando Huevadas,,6802.0,high_yield_channel,Hablando Huevadas,173,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
32,VGaNoh3LTrg,https://www.youtube.com/watch?v=VGaNoh3LTrg,RADIO HUEVADAS FT. ACTORES DE BETTY LA FEA,Hablando Huevadas,,2395.0,high_yield_channel,Hablando Huevadas,174,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
33,xMedL8a6RkE,https://www.youtube.com/watch?v=xMedL8a6RkE,Un Año Más Contra El Mundo - SHOW STREAMING,Hablando Huevadas,,76.0,high_yield_channel,Hablando Huevadas,175,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
34,pH1RC0QnrOY,https://www.youtube.com/watch?v=pH1RC0QnrOY,RADIO HUEVADAS FT. PATRICIA PORTOCARRERO,Hablando Huevadas,,4159.0,high_yield_channel,Hablando Huevadas,176,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
35,yCjQC2ganZo,https://www.youtube.com/watch?v=yCjQC2ganZo,HABLANDO HUEVADAS - Sexta Temporada [JORGE Y SU ESPOSA EN UN S3XSHOP],Hablando Huevadas,,5138.0,high_yield_channel,Hablando Huevadas,177,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
36,_CoqVImnI7Q,https://www.youtube.com/watch?v=_CoqVImnI7Q,HABLANDO HUEVADAS - Sexta Temporada [GRABAMOS UN VIDEOCLIP],Hablando Huevadas,,5128.0,high_yield_channel,Hablando Huevadas,178,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
37,Iy8_Rrz6WMY,https://www.youtube.com/watch?v=Iy8_Rrz6WMY,HABLANDO HUEVADAS - Sexta Temporada [¡CORREEEE EL HUAYCO!],Hablando Huevadas,,5212.0,high_yield_channel,Hablando Huevadas,179,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
38,e34BRxYjfQ0,https://www.youtube.com/watch?v=e34BRxYjfQ0,HABLANDO HUEVADAS - Sexta Temporada [EL NIÑO CUADRAPLÉJICO MALCRIADO] HH EN ARGENTINA - GRAN REX,Hablando Huevadas,,5297.0,high_yield_channel,Hablando Huevadas,180,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
39,XgTC2tDGXQs,https://www.youtube.com/watch?v=XgTC2tDGXQs,HABLANDO HUEVADAS - Sexta Temporada [JORGE ES UN M0TH3R FVCK3R] HH EN LONDRES,Hablando Huevadas,,5741.0,high_yield_channel,Hablando Huevadas,181,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
40,0DyxIk9LQ7s,https://www.youtube.com/watch?v=0DyxIk9LQ7s,HABLANDO HUEVADAS - Sexta Temporada [EL PODER DE FRANCO ESCAMILLA] HH EN MÉXICO,Hablando Huevadas,,5388.0,high_yield_channel,Hablando Huevadas,182,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
41,ZkQ30nxvRUM,https://www.youtube.com/watch?v=ZkQ30nxvRUM,RADIO HUEVADAS FT. ANDY & LUCAS,Hablando Huevadas,,2617.0,high_yield_channel,Hablando Huevadas,183,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
42,_mxlPlAVA0U,https://www.youtube.com/watch?v=_mxlPlAVA0U,HABLANDO HUEVADAS - Sexta Temporada [MI PAPÁ Y MI EX NOVIO TIENEN ALGO],Hablando Huevadas,,5786.0,high_yield_channel,Hablando Huevadas,184,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
43,npw20i4Ru3Q,https://www.youtube.com/watch?v=npw20i4Ru3Q,HABLANDO HUEVADAS - Sexta Temporada [RICARDO VS LA CRISTIANA DEL PÚBLICO],Hablando Huevadas,,6553.0,high_yield_channel,Hablando Huevadas,185,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
44,IuPdGNTy2L4,https://www.youtube.com/watch?v=IuPdGNTy2L4,HABLANDO HUEVADAS - Sexta Temporada [EL CÁNCER DE MAMA TIENE SUS VENTAJAS],Hablando Huevadas,,5314.0,high_yield_channel,Hablando Huevadas,186,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
45,JTwhxgqThzs,https://www.youtube.com/watch?v=JTwhxgqThzs,"HABLANDO HUEVADAS - Sexta Temporada [ESTUVE EN COMA, COMO QUIEN DICE, VEGETAL]",Hablando Huevadas,,5922.0,high_yield_channel,Hablando Huevadas,187,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
46,g_HXLpNsoT4,https://www.youtube.com/watch?v=g_HXLpNsoT4,HABLANDO HUEVADAS - Sexta Temporada [OTRO ESCLAVO NOS TRAICIONA],Hablando Huevadas,,7589.0,high_yield_channel,Hablando Huevadas,188,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
47,2kWj-GdcaqU,https://www.youtube.com/watch?v=2kWj-GdcaqU,HABLANDO HUEVADAS - Sexta Temporada [EL LOCO TARZÁN DE TACNA],Hablando Huevadas,,5499.0,high_yield_channel,Hablando Huevadas,189,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
48,DfOQ_nw_R34,https://www.youtube.com/watch?v=DfOQ_nw_R34,RADIO HUEVADAS FT. DAFONSEKA,Hablando Huevadas,,3720.0,high_yield_channel,Hablando Huevadas,190,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
49,HDR9p5-qbMs,https://www.youtube.com/watch?v=HDR9p5-qbMs,HABLANDO HUEVADAS - Sexta Temporada [LA CASACA AZÚL DE PEDRO CASTILLO],Hablando Huevadas,,6045.0,high_yield_channel,Hablando Huevadas,191,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
50,ssI21JPYAEo,https://www.youtube.com/watch?v=ssI21JPYAEo,RADIO HUEVADAS FT. GONCHO,Hablando Huevadas,,4348.0,high_yield_channel,Hablando Huevadas,192,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
51,BGLQApQItUA,https://www.youtube.com/watch?v=BGLQApQItUA,HABLANDO HUEVADAS - Sexta Temporada [REGALAMOS UN BEBÉ EN VIVO],Hablando Huevadas,,5374.0,high_yield_channel,Hablando Huevadas,193,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
52,5-Rc7dU-tvU,https://www.youtube.com/watch?v=5-Rc7dU-tvU,RADIO HUEVADAS FT. DJ PELIGRO,Hablando Huevadas,,3435.0,high_yield_channel,Hablando Huevadas,194,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
53,D5qev6kWArs,https://www.youtube.com/watch?v=D5qev6kWArs,HABLANDO HUEVADAS - Sexta Temporada [RICARDO MATÓ A UN FAN],Hablando Huevadas,,4616.0,high_yield_channel,Hablando Huevadas,195,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
54,nPWikoYqrBI,https://www.youtube.com/watch?v=nPWikoYqrBI,RADIO HUEVADAS FT. MARISOL,Hablando Huevadas,,3268.0,high_yield_channel,Hablando Huevadas,196,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
55,UNRw154kwvg,https://www.youtube.com/watch?v=UNRw154kwvg,HABLANDO HUEVADAS - Sexta Temporada [GRABAMOS UN COMERCIAL CON “OREJITA”],Hablando Huevadas,,5414.0,high_yield_channel,Hablando Huevadas,197,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
56,kXI3Z9wFvkU,https://www.youtube.com/watch?v=kXI3Z9wFvkU,RADIO HUEVADAS FT. LUCIANEKA,Hablando Huevadas,,3713.0,high_yield_channel,Hablando Huevadas,198,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
57,xkJyIr-Jaow,https://www.youtube.com/watch?v=xkJyIr-Jaow,HABLANDO HUEVADAS - Sexta Temporada [HAY NIÑOS QUE TIENEN HAMBRE],Hablando Huevadas,,5286.0,high_yield_channel,Hablando Huevadas,199,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
58,-YuSocNOc7Q,https://www.youtube.com/watch?v=-YuSocNOc7Q,RADIO HUEVADAS FT. YACO ESKENAZI,Hablando Huevadas,,4160.0,high_yield_channel,Hablando Huevadas,200,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
59,53QQGKobCpk,https://www.youtube.com/watch?v=53QQGKobCpk,RADIO HUEVADAS FT.  KING LEÓN,Hablando Huevadas,,3704.0,high_yield_channel,Hablando Huevadas,201,CONTENIDO_SEXUAL|ACOSO_GENERO_IDENTIDAD|AMENAZA_DIRECTA,22.60 chunks de daño y 0.86 amenazas por video en el corpus base,70,,ampliacion_dano_20260727_lote2,2026-07-27T07:54:18-05:00
